med	you
afatinib	0.7211269591844162
erlotinib	0.9163613547682253
neratinib	0.5719116951169974
lapatinib	0.1973215676262545
pazopanib	0.10127328781625945
hmn-214	-0.24470091725043566
fulvestrant	1.084249248374243
vorinostat	0.5757748206728479
mitoxantrone	0.823101047870404
tanespimycin	0.8947343304238574
gdc-0941	1.032478202321579
gsk-2110183	-0.4912863792853895
avl-292	1.4922726713393564
ibrutinib	0.8593988493348531
dovitinib	0.23199621133795095
trametinib	-0.39863583805739566
tozasertib	-0.4335198449693056
tak-715	-0.10932357244491236
brd-a04845303	-0.971108881675992
sirolimus	1.2573725873078585
bi-d1870	-1.0253995643113296
barasertib-hqpa	-0.8448444935975399
sotrastaurin	0.9307189391270454
brd-k08565465	-0.772926542657239
baricitinib	-0.20538808579016504
midostaurin	1.2901374172102245
mps1-in-1	-0.26057132192972776
mi-2	-0.10961055723719519
ruxolitinib	-1.5585106296004947
wz-4002	0.0016619540073421178
brd-k54606188	0.29676324848635377
lenalidomide	-1.0328770981179596
brd-a75976779	-0.1772161870852589
gs-9973	-0.13506078983044004
gsk-461364	-0.5277048166996064
pilaralisib	1.1977301242633303
azd-1480	-0.007015475853730177
brd-k16277767	0.631912019545414
brd-k90846035	0.014177832059893305
cx-4945	0.3498712729660894
nvp-tae684	0.12076575903995436
az-628	0.30323919443243885
brd-a19037878	0.6225062966178794
cobimetinib	0.8991666615306311
gw-5074	-1.2797195639042962
wortmannin	1.532253303291681
ljh-685	-0.5925375759607943
bms-345541	-1.4919579848913975
a-443654	0.4863681432941378
gdc-834	-0.2831910807402271
ipi-145	0.2689608413044509
ikk-16	-0.8611524227286991
brd-k04065047	-0.05990626355714931
tg-101348	0.4521331502061659
zm-447439	0.31326337967548346
fostamatinib	0.3024523920683019
selumetinib	-0.12892980308337817
cp-466722	-0.3440784443135449
alpelisib	-0.10977909558869559
kin-001-220	0.22234709279296286
copanlisib	0.07243848624922056
sl-0101-1	0.23683395806487892
hydroxychloroquine	-0.9308184554089286
fmk	-0.9420170670151724
canertinib	0.3082969948974556
bms	0.2392533682376232
brd-k30520487	-0.755094105772896
brd-k28372487	-0.6611592924465285
xmd-1150	0.30866244987547276
brd-k32801988	-0.6606428599351968
nvp-bez235	0.9605409252907681
gdc-0068	0.8333205344153088
brd-k32972437	-0.021659168632587336
brd-k79432418	-0.6298717778750788
gsk-1838705a	-0.4873153794468591
mln-4924	-0.529228812319081
mk-2206	0.9885950872434365
enzastaurin	-0.111180483837717
lji-308	-0.7605676033059052
bortezomib	-0.29765088558887404
brd-a96686988	0.7037295914574317
prt-062607	-0.5939694961723262
brd-a37110558	-0.1958481330558929
pf-04691502	1.0175690145755163
brd-k13733627	0.12405513699659909
brd-k55575531	-0.5105482383259522
gw-843682x	-0.4263748494741888
brd-k08177763	0.8170700384821841
linifanib	-1.8895341000470076
crizotinib	0.4772715256357978
everolimus	1.198747358732312
brd-k51348184	-0.02055834316655153
dinaciclib	0.45191068120879446
cink-4	0.2826085246443162
pf-05212384	0.5408099133540502
azd-5438	0.08435115486429573
idelalisib	0.5635952813776601
securinine	-0.8512091363687232
brd-k47084999	-1.4254058850749871
brd-k05456756	-1.7211353386758255
brd-a73558769	-1.0524425170378602
brd-k03439359	0.6135861881087095
tamoxifen	0.5044430379934979
brd-k53325797	-1.9211837553486073
brd-k85822033	1.2198549909907488
brd-k13077924	0.2093667766752865
daunorubicin	2.084516335568751
brd-k65971331	0.48818465173042236
carbacyclin	1.5222643831939666
iloprost	-0.10152389225862651
mre-269	0.5154099553297882
brd-k04986062	0.7361752612221631
brd-a35207501	1.6160643233725387
brd-a72796238	0.7568363148162812
brd-k41790758	0.8869835609813509
tretinoin	0.24831633722912905
brd-k26684619	0.25117567561861687
brd-a03772856	0.39093728842944636
brd-k16300438	-0.20269446095749985
brd-k95149906	2.861630518899778
calcitriol	0.7600439423511848
brd-k64877338	-0.9978853092874083
geldanamycin	1.1251417062962086
brd-a74382794	0.07076521043077108
brd-k68552125	0.05136208464334192
brd-a72498772	0.7790385628237674
brd-a73513677	-1.0263654835177278
utmb-00042	0.35376472929959013
kuc107191n	0.48186336675584934
brd-k80368509	0.007490820346239816
brd-k21918725	-0.6510721792178966
brd-k63513868	-0.9064893914704685
kuc105208	-1.9922179770566462
brd-k74176882	-0.9420863884394571
brd-a95504714	-0.8161020621639472
alpha-estradiol	-0.03546161040022427
fluphenazine	0.09247090721089021
estradiol	-0.2818841886147999
radicicol	0.6848668691647483
trifluoperazine	-0.3357522048759834
genistein	1.1506674627773106
troglitazone	-0.22232630868740466
ly-294002	1.9660251169030674
valproic-acid	0.10478247538791877
thioridazine	-0.6358212535631746
withaferin-a	-0.5047217847695105
alvespimycin	1.7249629195192475
cgs-15943	0.49091417638018625
taselisib	1.2125116386448684
tw-37	0.7011801367602247
lorazepam	0.08404156760080718
as-605240	0.1934495654485751
calcipotriol	0.8339355833903014
azd-8055	0.9428193377374152
xl-888	1.2182118066886192
abt-751	0.30571288813731123
amg-232	-0.45492958547434764
rita	-0.5491833846359157
indinavir	-0.5300374365285047
cabozantinib	0.7095434102754403
nocodazole	0.6550094459091924
nelfinavir	-0.08617948247413056
ag-14361	-0.9807019191401177
pj-34	-0.31916095153669227
procaterol	-0.3041381471358185
nutlin-3	0.06187269102526677
mg-132	-0.3004770644493179
nvp-auy922	1.5540404652770552
birinapant	-0.7064700844011997
gatifloxacin	-0.8230783866096165
panobinostat	0.11430647250009886
r-547	0.13158281965415722
oncrasin-1	-0.12704632281265252
rucaparib	-1.4372922555697594
imatinib	-0.43472440479311725
brd-k76674262	-1.50719963493917
zolpidem	0.10616391899181664
anagrelide	0.17013698968107827
levosulpiride	-0.0709638343373335
obatoclax	0.22340728240634972
masitinib	-0.10884469692806807
roscovitine	0.1364821571441382
alvocidib	-0.028227641108819743
lomerizine	-0.2903387615359324
floxuridine	0.6701230799871363
sorafenib	1.1730143753791038
gefitinib	0.3697667212192282
alectinib	-0.7046917555421832
epirubicin	2.1392240303664964
axitinib	0.8320481628132862
tamibarotene	-0.21868592561116623
tandutinib	0.07148451854567135
chelidonine	0.6632583510979727
entinostat	0.04494682011719529
bi-2536	-0.10678491672224864
olaparib	1.8808954983078272
camptothecin	0.13243264679386182
digoxin	-1.0500943066624984
abt-737	-0.011557705254510955
ym-155	0.20496264047131504
equilin	0.34761228506405883
dasatinib	1.63311407214118
orciprenaline	0.5915905647570692
am-580	0.6637082466903115
ponatinib	0.054820687471055805
cgs-21680	-0.564001814924282
gdc-0199	-0.17425196121961034
lopinavir	-0.39216031164761445
ceritinib	0.050279680513091604
quizartinib	0.7605764085185077
brd-k63750851	0.3945250583951784
fludarabine	0.2604065882905103
anguidine	-1.1799911561869942
dabrafenib	1.4310834425668346
pha-793887	-0.5145948341192776
kw-2478	1.5534861976983232
ku-0063794	0.9103050965697796
moxifloxacin	0.11298331267241998
estradiol-cypionate	0.10135549463688488
simvastatin	1.4335212091477625
azathioprine	0.15401799232264493
amlodipine	0.27710015842748964
atorvastatin	0.8327149575601698
vemurafenib	0.9237341797211691
marbofloxacin	-0.5962501665336863
mitomycin-c	-0.48985491106455015
brd-k20986251	-0.42589783985338747
dienestrol	0.1208347971657993
brd-k61033289	0.6409957781453597
azd-5363	1.2939793849264631
cv-1808	-0.2026568106659931
jnj-7706621	-1.32840039097718
gw-501516	-1.1553746746560016
vandetanib	-0.7638235040053257
raloxifene	0.15475844982832876
pd-0325901	-0.08791660967872673
parbendazole	0.058033511361091174
salmeterol	-0.26179501720038123
pi-103	1.8066923488942652
emetine	-1.0128010629116906
temozolomide	1.0563503395673646
dl-pdmp	-0.8355308023019726
ixazomib	-0.4118084941933416
palbociclib	0.09390888654652596
idarubicin	2.266737874131575
digitoxin	-0.6061270197869013
allantoin	0.0710014655503516
metformin	-0.2609339198096219
meticrane	-0.02077357899551692
benzonatate	-0.3836344698903263
hydroflumethiazide	-0.618522069009476
sulfaphenazole	0.6636755574070763
gdc-0879	-0.06752004808781875
noretynodrel	-0.4933207089651543
brd-u73308409	1.0818532072787466
epirizole	-1.7677055768993117
dyphylline	-0.4815096516998699
triamterene	-0.2578763729470379
procaine	1.7483383013318259
moxisylyte	0.09638181011227859
betazole	-0.3148305472005635
metrifonate	-0.26249117536213695
triflupromazine	-0.5543921304441308
mefenamic-acid	-0.9594032489210216
morantel	0.7805673215955118
homatropine	0.35716876978836765
plx-4720	0.47034592920808155
todralazine	-0.09026438937378677
imipramine	0.6112184813195534
sulindac	-0.457664636913804
amitriptyline	-0.963054643978681
duloxetine	-0.09028849970398185
modafinil	-0.021700521859500565
brd-k01543453	-1.0335509763580717
olanzapine	-0.4474852850627342
brd-a90543464	-0.6611231628063967
17-aag	-0.03258432082992518
flunarizine	-0.08532986318794902
oxiracetam	0.7547701397089834
agomelatine	0.6903345452508116
fluoxetine	-0.13675989689296558
pf-06260933	0.43980776347011763
sertraline	-0.0025264837175267003
fluvastatin	1.328239206986326
pf-02545920	-0.161799380319445
aripiprazole	0.4690076983375519
pramipexole	0.16955604192303808
tianeptine	1.1924707799321015
bix-01294	-1.0411150290212843
haloperidol	-0.40105366251908586
tacedinaline	-0.024911758628830525
topiramate	0.9322850880997554
bizine	0.5012729766955327
i-bet-151	0.48690992599861976
quetiapine	0.7632271252694164
